,0,1
0,1323.0164,1980.9519
1,1201.1938,126.4662
2,1448.137,126.51216
3,1913.7274,126.73779
4,2404.5242,126.44086
5,1292.5669,105.28084
6,1356.5004,105.39257
7,93.349884,127.36955
8,200.85141,157.69067
9,289.7815,137.94467
10,289.79123,137.95573
11,575.2032,159.48788
12,717.01263,137.26196
13,717.01624,137.26022
14,823.0353,127.37641
15,1050.747,157.7437
16,1598.9073,157.73364
17,1842.4702,136.957
18,1842.4315,134.83925
19,2523.6555,127.45465
20,2586.065,127.43562
21,2467.4563,127.661964
22,92.18172,186.42136
23,716.2527,193.47548
24,822.0211,186.46669
25,201.01189,218.4535
26,315.0,219.84848
27,1048.4421,218.29132
28,1601.7413,218.22772
29,371.6762,221.04367
30,473.48773,217.67363
31,596.2218,251.73676
32,1295.0,222.5
33,1355.0,225.0
34,1252.5276,253.34671
35,1394.2413,253.99051
36,708.2018,278.28946
37,2465.8965,277.27832
38,928.4641,372.26962
39,1733.3577,376.4956
40,2527.4536,299.685
41,453.75,305.25
42,367.2908,308.98886
43,1231.893,319.63666
44,1295.0,305.0
45,1355.0,305.0
46,1417.2981,319.71042
47,488.79672,340.95126
48,1827.542,372.72418
49,2478.8665,359.05258
50,443.76584,325.21744
51,2548.1543,386.146
52,715.963,365.89563
53,738.4091,424.7727
54,785.9524,424.5238
55,2458.75,425.25
56,1916.584,431.33612
57,1977.7113,431.34018
58,2037.7866,431.36398
59,2103.8423,444.01364
60,2153.4524,444.25378
61,2226.955,444.2724
62,2281.0562,431.4463
63,2342.3123,442.52652
64,2402.5955,443.5293
65,444.30234,476.5698
66,566.2566,462.25452
67,566.2715,462.2501
68,702.0111,462.12665
69,2529.1318,476.27057
70,472.51764,476.5276
71,786.8421,466.57895
72,2480.648,456.74695
73,2309.7776,523.9254
74,2215.6938,507.0253
75,585.6818,516.36365
76,786.5,516.5
77,2075.2273,516.59094
78,657.6319,537.9975
79,685.4546,538.3766
80,717.1985,537.8613
81,2160.4812,522.41223
82,816.3585,530.8251
83,1821.6667,523.3333
84,288.4704,552.8136
85,2547.9849,568.8186
86,561.2002,568.317
87,2123.8096,559.0476
88,786.5909,560.2273
89,2075.238,560.2381
90,291.53485,628.9387
91,219.75,608.75
92,352.72913,632.7022
93,184.66582,643.7927
94,428.3518,644.00525
95,2528.9421,658.0645
96,91.0078,731.64014
97,585.75,669.25
98,786.3636,669.3182
99,2165.75,669.25
100,657.57086,689.60144
101,685.4348,690.0725
102,717.1219,689.43854
103,2251.463,673.8016
104,562.0231,718.4063
105,2128.8381,704.9708
106,562.0228,718.4077
107,786.3636,710.6818
108,2214.25,710.75
109,2255.9524,729.7619
110,2311.856,752.09863
111,2458.75,730.25
112,2548.044,750.55334
113,1916.7067,766.4172
114,1977.5897,766.3889
115,2055.8713,771.9037
116,2220.936,765.95374
117,2493.7869,766.29297
118,1322.9814,763.9605
119,2143.4102,760.80927
120,1067.2865,764.6477
121,1581.8604,764.67926
122,585.9524,819.7619
123,786.5909,819.7727
124,657.4713,839.85645
125,685.921,840.921
126,717.1411,840.64624
127,585.2381,861.9048
128,785.9524,862.1429
129,2220.7563,887.18176
130,2586.764,901.9884
131,2522.1733,888.24023
132,656.0181,947.5915
133,717.23926,947.51764
134,2231.5103,963.3148
135,2327.0203,957.56805
136,2327.0256,957.56714
137,2418.125,957.6801
138,2418.1309,957.68097
139,2513.118,963.06934
140,1863.0358,978.75
141,2143.832,979.16113
142,830.7407,992.59265
143,1818.1482,994.2593
144,656.0055,1008.5823
145,717.22986,1008.65686
146,1323.7131,1008.2208
147,2236.1797,1043.6921
148,2325.8474,1043.8262
149,2419.276,1043.8132
150,2508.6406,1043.6823
151,188.04048,1052.6201
152,278.95938,1052.7432
153,367.5,1055.0
154,456.64914,1052.6191
155,73.33494,1116.5802
156,532.1068,1119.2487
157,585.75,1094.25
158,786.3636,1094.3181
159,1861.25,1095.25
160,2124.25,1094.25
161,2177.5825,1119.1855
162,2575.8499,1115.1643
163,823.07745,1130.4237
164,1826.0293,1130.4579
165,73.32747,1116.5856
166,693.3334,1135.2223
167,1955.0,1135.4348
168,2575.8677,1115.2034
169,1323.6216,1251.9882
170,303.06247,1431.0447
171,431.9361,1431.0398
172,2217.2622,1430.9911
173,2344.8298,1430.9303
174,687.7155,1383.0557
175,823.22034,1378.1407
176,1826.2754,1378.4746
177,1959.6217,1382.3049
178,251.57184,1376.7048
179,483.42816,1376.7048
